"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",6.11780107030082,28.3712446701769,-47.5765927939104,-12.931508146689,5.84122596608702,24.2987375185355,62.8916099136777,1.00167268067295,1700
"beta1",0.0182417263293118,0.78416362439953,-1.48221265076119,-0.501006983283019,0.0289216446025254,0.533118117771687,1.54486331232533,1.00197967453797,1400
"beta2",0.158275316598088,1.76152651377321,-3.07354867792176,-0.953065954484637,0.175538470054673,1.30124281399523,3.34630324919071,1.00905949726186,490
"beta3",-0.0234816352759505,0.1564508003467,-0.304905548766025,-0.124033771487387,-0.0244694370799784,0.0753671534410721,0.264586520346158,1.01031737663819,530
"deviance",4423.50450964385,70.9474031570587,4357.36069129481,4397.81862616796,4420.07470131476,4444.2450810533,4490.36866109761,1.00063766360421,3000
"sigma_0",556.864199825605,411.125905942031,234.956142453981,342.200261685694,451.997783363314,635.925518338572,1482.42546839799,1.00066564326981,3000
"sigma_1",558.807604959697,383.307985693333,229.281121369347,351.228695422134,461.54930087729,632.953175655071,1446.66002482419,1.00195617799013,1400
"sigma_2",572.078495097449,446.86309294818,230.418889872044,348.001712037562,461.007719375616,653.963088635673,1581.68159132451,1.00058080607781,3000
"sigma_3",561.121623124883,374.721104002346,227.878342676224,350.007314399573,458.543192682031,638.895506457476,1548.08259604845,1.00159933464944,3000
